Image,Activity
arguing_image_1,Arguing
arguing_image_10,Arguing
arguing_image_100,Arguing
arguing_image_101,Arguing
arguing_image_102,Arguing
arguing_image_103,Arguing
arguing_image_104,Arguing
arguing_image_105,Arguing
arguing_image_106,Arguing
arguing_image_107,Arguing
arguing_image_108,Arguing
arguing_image_109,Arguing
arguing_image_11,Arguing
arguing_image_110,Arguing
arguing_image_111,Arguing
arguing_image_112,Arguing
arguing_image_113,Arguing
arguing_image_114,Arguing
arguing_image_115,Arguing
arguing_image_116,Arguing
arguing_image_117,Arguing
arguing_image_118,Arguing
arguing_image_119,Arguing
arguing_image_12,Arguing
arguing_image_120,Arguing
arguing_image_121,Arguing
arguing_image_122,Arguing
arguing_image_123,Arguing
arguing_image_124,Arguing
arguing_image_125,Arguing
arguing_image_126,Arguing
arguing_image_127,Arguing
arguing_image_128,Arguing
arguing_image_129,Arguing
arguing_image_13,Arguing
arguing_image_130,Arguing
arguing_image_131,Arguing
arguing_image_132,Arguing
arguing_image_133,Arguing
arguing_image_134,Arguing
arguing_image_135,Arguing
arguing_image_136,Arguing
arguing_image_137,Arguing
arguing_image_138,Arguing
arguing_image_139,Arguing
arguing_image_14,Arguing
arguing_image_140,Arguing
arguing_image_141,Arguing
arguing_image_142,Arguing
arguing_image_143,Arguing
arguing_image_144,Arguing
arguing_image_145,Arguing
arguing_image_146,Arguing
arguing_image_147,Arguing
arguing_image_148,Arguing
arguing_image_149,Arguing
arguing_image_15,Arguing
arguing_image_150,Arguing
arguing_image_151,Arguing
arguing_image_152,Arguing
arguing_image_153,Arguing
arguing_image_154,Arguing
arguing_image_155,Arguing
arguing_image_156,Arguing
arguing_image_157,Arguing
arguing_image_158,Arguing
arguing_image_159,Arguing
arguing_image_16,Arguing
arguing_image_160,Arguing
arguing_image_161,Arguing
arguing_image_162,Arguing
arguing_image_163,Arguing
arguing_image_164,Arguing
arguing_image_165,Arguing
arguing_image_166,Arguing
arguing_image_167,Arguing
arguing_image_168,Arguing
arguing_image_169,Arguing
arguing_image_17,Arguing
arguing_image_170,Arguing
arguing_image_171,Arguing
arguing_image_172,Arguing
arguing_image_173,Arguing
arguing_image_174,Arguing
arguing_image_175,Arguing
arguing_image_176,Arguing
arguing_image_177,Arguing
arguing_image_178,Arguing
arguing_image_179,Arguing
arguing_image_18,Arguing
arguing_image_180,Arguing
arguing_image_19,Arguing
arguing_image_2,Arguing
arguing_image_20,Arguing
arguing_image_21,Arguing
arguing_image_22,Arguing
arguing_image_23,Arguing
arguing_image_24,Arguing
arguing_image_25,Arguing
arguing_image_26,Arguing
arguing_image_27,Arguing
arguing_image_28,Arguing
arguing_image_29,Arguing
arguing_image_3,Arguing
arguing_image_30,Arguing
arguing_image_31,Arguing
arguing_image_32,Arguing
arguing_image_33,Arguing
arguing_image_34,Arguing
arguing_image_35,Arguing
arguing_image_36,Arguing
arguing_image_37,Arguing
arguing_image_38,Arguing
arguing_image_39,Arguing
arguing_image_4,Arguing
arguing_image_40,Arguing
arguing_image_41,Arguing
arguing_image_42,Arguing
arguing_image_43,Arguing
arguing_image_44,Arguing
arguing_image_45,Arguing
arguing_image_46,Arguing
arguing_image_47,Arguing
arguing_image_48,Arguing
arguing_image_49,Arguing
arguing_image_5,Arguing
arguing_image_50,Arguing
arguing_image_51,Arguing
arguing_image_52,Arguing
arguing_image_53,Arguing
arguing_image_54,Arguing
arguing_image_55,Arguing
arguing_image_56,Arguing
arguing_image_57,Arguing
arguing_image_58,Arguing
arguing_image_59,Arguing
arguing_image_6,Arguing
arguing_image_60,Arguing
arguing_image_61,Arguing
arguing_image_62,Arguing
arguing_image_63,Arguing
arguing_image_64,Arguing
arguing_image_65,Arguing
arguing_image_66,Arguing
arguing_image_67,Arguing
arguing_image_68,Arguing
arguing_image_69,Arguing
arguing_image_7,Arguing
arguing_image_70,Arguing
arguing_image_71,Arguing
arguing_image_72,Arguing
arguing_image_73,Arguing
arguing_image_74,Arguing
arguing_image_75,Arguing
arguing_image_76,Arguing
arguing_image_77,Arguing
arguing_image_78,Arguing
arguing_image_79,Arguing
arguing_image_8,Arguing
arguing_image_80,Arguing
arguing_image_81,Arguing
arguing_image_82,Arguing
arguing_image_83,Arguing
arguing_image_84,Arguing
arguing_image_85,Arguing
arguing_image_86,Arguing
arguing_image_87,Arguing
arguing_image_88,Arguing
arguing_image_89,Arguing
arguing_image_9,Arguing
arguing_image_90,Arguing
arguing_image_91,Arguing
arguing_image_92,Arguing
arguing_image_93,Arguing
arguing_image_94,Arguing
arguing_image_95,Arguing
arguing_image_96,Arguing
arguing_image_97,Arguing
arguing_image_98,Arguing
arguing_image_99,Arguing
