Image,Activity
Laughing_image_1,Laughing
Laughing_image_10,Laughing
Laughing_image_100,Laughing
Laughing_image_101,Laughing
Laughing_image_102,Laughing
Laughing_image_103,Laughing
Laughing_image_104,Laughing
Laughing_image_105,Laughing
Laughing_image_106,Laughing
Laughing_image_107,Laughing
Laughing_image_108,Laughing
Laughing_image_109,Laughing
Laughing_image_11,Laughing
Laughing_image_110,Laughing
Laughing_image_111,Laughing
Laughing_image_112,Laughing
Laughing_image_113,Laughing
Laughing_image_114,Laughing
Laughing_image_115,Laughing
Laughing_image_116,Laughing
Laughing_image_117,Laughing
Laughing_image_118,Laughing
Laughing_image_119,Laughing
Laughing_image_12,Laughing
Laughing_image_120,Laughing
Laughing_image_121,Laughing
Laughing_image_122,Laughing
Laughing_image_123,Laughing
Laughing_image_124,Laughing
Laughing_image_125,Laughing
Laughing_image_126,Laughing
Laughing_image_127,Laughing
Laughing_image_128,Laughing
Laughing_image_129,Laughing
Laughing_image_13,Laughing
Laughing_image_130,Laughing
Laughing_image_131,Laughing
Laughing_image_132,Laughing
Laughing_image_133,Laughing
Laughing_image_134,Laughing
Laughing_image_135,Laughing
Laughing_image_136,Laughing
Laughing_image_137,Laughing
Laughing_image_138,Laughing
Laughing_image_139,Laughing
Laughing_image_14,Laughing
Laughing_image_140,Laughing
Laughing_image_141,Laughing
Laughing_image_142,Laughing
Laughing_image_143,Laughing
Laughing_image_144,Laughing
Laughing_image_145,Laughing
Laughing_image_146,Laughing
Laughing_image_147,Laughing
Laughing_image_148,Laughing
Laughing_image_149,Laughing
Laughing_image_15,Laughing
Laughing_image_150,Laughing
Laughing_image_151,Laughing
Laughing_image_152,Laughing
Laughing_image_153,Laughing
Laughing_image_154,Laughing
Laughing_image_155,Laughing
Laughing_image_156,Laughing
Laughing_image_157,Laughing
Laughing_image_158,Laughing
Laughing_image_159,Laughing
Laughing_image_16,Laughing
Laughing_image_160,Laughing
Laughing_image_161,Laughing
Laughing_image_162,Laughing
Laughing_image_163,Laughing
Laughing_image_164,Laughing
Laughing_image_165,Laughing
Laughing_image_166,Laughing
Laughing_image_167,Laughing
Laughing_image_168,Laughing
Laughing_image_169,Laughing
Laughing_image_17,Laughing
Laughing_image_170,Laughing
Laughing_image_171,Laughing
Laughing_image_172,Laughing
Laughing_image_173,Laughing
Laughing_image_174,Laughing
Laughing_image_175,Laughing
Laughing_image_176,Laughing
Laughing_image_177,Laughing
Laughing_image_178,Laughing
Laughing_image_179,Laughing
Laughing_image_18,Laughing
Laughing_image_180,Laughing
Laughing_image_19,Laughing
Laughing_image_2,Laughing
Laughing_image_20,Laughing
Laughing_image_21,Laughing
Laughing_image_22,Laughing
Laughing_image_23,Laughing
Laughing_image_24,Laughing
Laughing_image_25,Laughing
Laughing_image_26,Laughing
Laughing_image_27,Laughing
Laughing_image_28,Laughing
Laughing_image_29,Laughing
Laughing_image_3,Laughing
Laughing_image_30,Laughing
Laughing_image_31,Laughing
Laughing_image_32,Laughing
Laughing_image_33,Laughing
Laughing_image_34,Laughing
Laughing_image_35,Laughing
Laughing_image_36,Laughing
Laughing_image_37,Laughing
Laughing_image_38,Laughing
Laughing_image_39,Laughing
Laughing_image_4,Laughing
Laughing_image_40,Laughing
Laughing_image_41,Laughing
Laughing_image_42,Laughing
Laughing_image_43,Laughing
Laughing_image_44,Laughing
Laughing_image_45,Laughing
Laughing_image_46,Laughing
Laughing_image_47,Laughing
Laughing_image_48,Laughing
Laughing_image_49,Laughing
Laughing_image_5,Laughing
Laughing_image_50,Laughing
Laughing_image_51,Laughing
Laughing_image_52,Laughing
Laughing_image_53,Laughing
Laughing_image_54,Laughing
Laughing_image_55,Laughing
Laughing_image_56,Laughing
Laughing_image_57,Laughing
Laughing_image_58,Laughing
Laughing_image_59,Laughing
Laughing_image_6,Laughing
Laughing_image_60,Laughing
Laughing_image_61,Laughing
Laughing_image_62,Laughing
Laughing_image_63,Laughing
Laughing_image_64,Laughing
Laughing_image_65,Laughing
Laughing_image_66,Laughing
Laughing_image_67,Laughing
Laughing_image_68,Laughing
Laughing_image_69,Laughing
Laughing_image_7,Laughing
Laughing_image_70,Laughing
Laughing_image_71,Laughing
Laughing_image_72,Laughing
Laughing_image_73,Laughing
Laughing_image_74,Laughing
Laughing_image_75,Laughing
Laughing_image_76,Laughing
Laughing_image_77,Laughing
Laughing_image_78,Laughing
Laughing_image_79,Laughing
Laughing_image_8,Laughing
Laughing_image_80,Laughing
Laughing_image_81,Laughing
Laughing_image_82,Laughing
Laughing_image_83,Laughing
Laughing_image_84,Laughing
Laughing_image_85,Laughing
Laughing_image_86,Laughing
Laughing_image_87,Laughing
Laughing_image_88,Laughing
Laughing_image_89,Laughing
Laughing_image_9,Laughing
Laughing_image_90,Laughing
Laughing_image_91,Laughing
Laughing_image_92,Laughing
Laughing_image_93,Laughing
Laughing_image_94,Laughing
Laughing_image_95,Laughing
Laughing_image_96,Laughing
Laughing_image_97,Laughing
Laughing_image_98,Laughing
Laughing_image_99,Laughing
