Image,Activity
Lying_image_1,Lying
Lying_image_10,Lying
Lying_image_100,Lying
Lying_image_101,Lying
Lying_image_102,Lying
Lying_image_103,Lying
Lying_image_104,Lying
Lying_image_105,Lying
Lying_image_106,Lying
Lying_image_107,Lying
Lying_image_108,Lying
Lying_image_109,Lying
Lying_image_11,Lying
Lying_image_110,Lying
Lying_image_111,Lying
Lying_image_112,Lying
Lying_image_113,Lying
Lying_image_114,Lying
Lying_image_115,Lying
Lying_image_116,Lying
Lying_image_117,Lying
Lying_image_118,Lying
Lying_image_119,Lying
Lying_image_12,Lying
Lying_image_120,Lying
Lying_image_121,Lying
Lying_image_122,Lying
Lying_image_123,Lying
Lying_image_124,Lying
Lying_image_125,Lying
Lying_image_126,Lying
Lying_image_127,Lying
Lying_image_128,Lying
Lying_image_129,Lying
Lying_image_13,Lying
Lying_image_130,Lying
Lying_image_131,Lying
Lying_image_132,Lying
Lying_image_133,Lying
Lying_image_134,Lying
Lying_image_135,Lying
Lying_image_136,Lying
Lying_image_137,Lying
Lying_image_138,Lying
Lying_image_139,Lying
Lying_image_14,Lying
Lying_image_140,Lying
Lying_image_141,Lying
Lying_image_142,Lying
Lying_image_143,Lying
Lying_image_144,Lying
Lying_image_145,Lying
Lying_image_146,Lying
Lying_image_147,Lying
Lying_image_148,Lying
Lying_image_149,Lying
Lying_image_15,Lying
Lying_image_150,Lying
Lying_image_151,Lying
Lying_image_152,Lying
Lying_image_153,Lying
Lying_image_154,Lying
Lying_image_155,Lying
Lying_image_158,Lying
Lying_image_159,Lying
Lying_image_16,Lying
Lying_image_160,Lying
Lying_image_161,Lying
Lying_image_162,Lying
Lying_image_163,Lying
Lying_image_164,Lying
Lying_image_165,Lying
Lying_image_166,Lying
Lying_image_167,Lying
Lying_image_168,Lying
Lying_image_169,Lying
Lying_image_17,Lying
Lying_image_170,Lying
Lying_image_171,Lying
Lying_image_172,Lying
Lying_image_173,Lying
Lying_image_174,Lying
Lying_image_175,Lying
Lying_image_176,Lying
Lying_image_177,Lying
Lying_image_178,Lying
Lying_image_179,Lying
Lying_image_18,Lying
Lying_image_180,Lying
Lying_image_19,Lying
Lying_image_2,Lying
Lying_image_20,Lying
Lying_image_21,Lying
Lying_image_22,Lying
Lying_image_23,Lying
Lying_image_24,Lying
Lying_image_25,Lying
Lying_image_26,Lying
Lying_image_27,Lying
Lying_image_28,Lying
Lying_image_3,Lying
Lying_image_30,Lying
Lying_image_31,Lying
Lying_image_32,Lying
Lying_image_33,Lying
Lying_image_34,Lying
Lying_image_35,Lying
Lying_image_36,Lying
Lying_image_37,Lying
Lying_image_38,Lying
Lying_image_39,Lying
Lying_image_4,Lying
Lying_image_40,Lying
Lying_image_41,Lying
Lying_image_42,Lying
Lying_image_43,Lying
Lying_image_44,Lying
Lying_image_45,Lying
Lying_image_46,Lying
Lying_image_47,Lying
Lying_image_48,Lying
Lying_image_49,Lying
Lying_image_5,Lying
Lying_image_50,Lying
Lying_image_51,Lying
Lying_image_52,Lying
Lying_image_53,Lying
Lying_image_54,Lying
Lying_image_55,Lying
Lying_image_56,Lying
Lying_image_57,Lying
Lying_image_58,Lying
Lying_image_59,Lying
Lying_image_6,Lying
Lying_image_60,Lying
Lying_image_61,Lying
Lying_image_62,Lying
Lying_image_63,Lying
Lying_image_64,Lying
Lying_image_65,Lying
Lying_image_66,Lying
Lying_image_67,Lying
Lying_image_68,Lying
Lying_image_69,Lying
Lying_image_7,Lying
Lying_image_70,Lying
Lying_image_71,Lying
Lying_image_72,Lying
Lying_image_73,Lying
Lying_image_74,Lying
Lying_image_75,Lying
Lying_image_76,Lying
Lying_image_77,Lying
Lying_image_78,Lying
Lying_image_79,Lying
Lying_image_8,Lying
Lying_image_80,Lying
Lying_image_81,Lying
Lying_image_82,Lying
Lying_image_83,Lying
Lying_image_84,Lying
Lying_image_85,Lying
Lying_image_86,Lying
Lying_image_87,Lying
Lying_image_88,Lying
Lying_image_89,Lying
Lying_image_9,Lying
Lying_image_90,Lying
Lying_image_91,Lying
Lying_image_92,Lying
Lying_image_93,Lying
Lying_image_94,Lying
Lying_image_95,Lying
Lying_image_96,Lying
Lying_image_97,Lying
Lying_image_98,Lying
Lying_image_99,Lying
