Image,Activity
Walking_image_1,Walking
Walking_image_10,Walking
Walking_image_100,Walking
Walking_image_101,Walking
Walking_image_102,Walking
Walking_image_103,Walking
Walking_image_104,Walking
Walking_image_105,Walking
Walking_image_106,Walking
Walking_image_107,Walking
Walking_image_108,Walking
Walking_image_109,Walking
Walking_image_11,Walking
Walking_image_110,Walking
Walking_image_111,Walking
Walking_image_112,Walking
Walking_image_113,Walking
Walking_image_114,Walking
Walking_image_115,Walking
Walking_image_116,Walking
Walking_image_117,Walking
Walking_image_118,Walking
Walking_image_119,Walking
Walking_image_12,Walking
Walking_image_120,Walking
Walking_image_121,Walking
Walking_image_122,Walking
Walking_image_123,Walking
Walking_image_124,Walking
Walking_image_125,Walking
Walking_image_126,Walking
Walking_image_127,Walking
Walking_image_128,Walking
Walking_image_129,Walking
Walking_image_13,Walking
Walking_image_130,Walking
Walking_image_131,Walking
Walking_image_132,Walking
Walking_image_133,Walking
Walking_image_134,Walking
Walking_image_135,Walking
Walking_image_136,Walking
Walking_image_137,Walking
Walking_image_138,Walking
Walking_image_139,Walking
Walking_image_14,Walking
Walking_image_140,Walking
Walking_image_141,Walking
Walking_image_142,Walking
Walking_image_143,Walking
Walking_image_144,Walking
Walking_image_145,Walking
Walking_image_146,Walking
Walking_image_147,Walking
Walking_image_148,Walking
Walking_image_149,Walking
Walking_image_15,Walking
Walking_image_150,Walking
Walking_image_151,Walking
Walking_image_152,Walking
Walking_image_153,Walking
Walking_image_154,Walking
Walking_image_155,Walking
Walking_image_156,Walking
Walking_image_157,Walking
Walking_image_158,Walking
Walking_image_159,Walking
Walking_image_16,Walking
Walking_image_160,Walking
Walking_image_161,Walking
Walking_image_162,Walking
Walking_image_163,Walking
Walking_image_164,Walking
Walking_image_165,Walking
Walking_image_166,Walking
Walking_image_167,Walking
Walking_image_168,Walking
Walking_image_169,Walking
Walking_image_17,Walking
Walking_image_170,Walking
Walking_image_171,Walking
Walking_image_172,Walking
Walking_image_173,Walking
Walking_image_174,Walking
Walking_image_175,Walking
Walking_image_176,Walking
Walking_image_177,Walking
Walking_image_178,Walking
Walking_image_179,Walking
Walking_image_18,Walking
Walking_image_180,Walking
Walking_image_19,Walking
Walking_image_2,Walking
Walking_image_20,Walking
Walking_image_21,Walking
Walking_image_22,Walking
Walking_image_23,Walking
Walking_image_24,Walking
Walking_image_25,Walking
Walking_image_26,Walking
Walking_image_27,Walking
Walking_image_28,Walking
Walking_image_29,Walking
Walking_image_3,Walking
Walking_image_30,Walking
Walking_image_31,Walking
Walking_image_32,Walking
Walking_image_33,Walking
Walking_image_34,Walking
Walking_image_35,Walking
Walking_image_36,Walking
Walking_image_37,Walking
Walking_image_38,Walking
Walking_image_39,Walking
Walking_image_4,Walking
Walking_image_40,Walking
Walking_image_41,Walking
Walking_image_42,Walking
Walking_image_43,Walking
Walking_image_44,Walking
Walking_image_45,Walking
Walking_image_46,Walking
Walking_image_47,Walking
Walking_image_48,Walking
Walking_image_49,Walking
Walking_image_5,Walking
Walking_image_50,Walking
Walking_image_51,Walking
Walking_image_52,Walking
Walking_image_53,Walking
Walking_image_54,Walking
Walking_image_55,Walking
Walking_image_56,Walking
Walking_image_57,Walking
Walking_image_58,Walking
Walking_image_59,Walking
Walking_image_6,Walking
Walking_image_60,Walking
Walking_image_61,Walking
Walking_image_62,Walking
Walking_image_63,Walking
Walking_image_64,Walking
Walking_image_65,Walking
Walking_image_66,Walking
Walking_image_67,Walking
Walking_image_68,Walking
Walking_image_69,Walking
Walking_image_7,Walking
Walking_image_70,Walking
Walking_image_71,Walking
Walking_image_72,Walking
Walking_image_73,Walking
Walking_image_74,Walking
Walking_image_75,Walking
Walking_image_76,Walking
Walking_image_77,Walking
Walking_image_78,Walking
Walking_image_79,Walking
Walking_image_8,Walking
Walking_image_80,Walking
Walking_image_81,Walking
Walking_image_82,Walking
Walking_image_83,Walking
Walking_image_84,Walking
Walking_image_85,Walking
Walking_image_86,Walking
Walking_image_87,Walking
Walking_image_88,Walking
Walking_image_89,Walking
Walking_image_9,Walking
Walking_image_90,Walking
Walking_image_91,Walking
Walking_image_92,Walking
Walking_image_93,Walking
Walking_image_94,Walking
Walking_image_95,Walking
Walking_image_96,Walking
Walking_image_97,Walking
Walking_image_98,Walking
Walking_image_99,Walking
